postcode,urban_code,grade
CF117LR,C1,1
CF117LS,C1,1
CF117LT,C1,1
CF117LU,C1,1
CF117LW,C1,1
CF117LX,C1,1
CF117LY,C1,1
CF117LZ,C1,1
CF117NA,C1,2
CF117PD,C1,5
CF117PE,C1,5
CF117PL,C1,1
CF117QA,C1,5
CF117QB,C1,5
CF117QE,C1,5
CF117TQ,C1,5
CF117WT,C1,2
CF117XS,C1,1
CF117ZQ,C1,2
CF118AA,C1,2
CF118AB,C1,4
CF118AD,C1,3
CF118AE,C1,4
CF118AF,C1,3
CF118AG,C1,1
CF118AH,C1,3
CF118AJ,C1,4
CF118AL,C1,4
CF118AN,C1,4
CF118AP,C1,3
CF118AQ,C1,5
CF118AR,E1,2
CF118AS,E1,2
CF118AT,C1,5
CF118AU,E1,1
CF118AW,C1,5
CF118AX,C1,3
CF118AY,C1,3
CF118AZ,C1,5
CF118BA,C1,4
CF118BB,C1,3
CF118BD,C1,5
CF118BE,C1,3
CF118BF,C1,4
